Index	idhmdb	name	formula	tracer	tracer purity	z	iso_topologus	isotope_M/Z	isotope_intensity
1	HMDB06483	ASPARTATE	C4H7NO4	C13	0.99	-1	M0	132.030231241728;133.03361541363725;0.0;0.0;0.0	95.713324128362;4.2866758716380025;0.0;0.0;0.0
1	HMDB06483	ASPARTATE	C4H7NO4	C13	0.99	-1	M1	132.030231241728;133.03358609020512;134.03697959720304;0.0;0.0	0.9671414735887667;95.77986053946;3.252997986951231;0.0;0.0
1	HMDB06483	ASPARTATE	C4H7NO4	C13	0.99	-1	M2	0.0;133.03358608357306;134.03694093868174;135.0403525076668;0.0	0.0;1.9356002040412834;95.8458219831986;2.2185778127601035;0.0
1	HMDB06483	ASPARTATE	C4H7NO4	C13	0.99	-1	M3	0.0;0.0;134.03694092541798;135.04029578716234;136.04375709231195	0.0;0.0;2.905676585253172;95.91122774835334;1.1830956663934857
1	HMDB06483	ASPARTATE	C4H7NO4	C13	0.99	-1	M4	0.0;0.0;0.0;135.040295767265;136.04365063565126	0.0;0.0;0.0;3.8833515306744504;96.11664846932555
2	HMDB00190	LACTATE	C3H6O3	C13	0.99	-1	M0	89.024417585428;90.02780175733724;0.0;0.0	96.7501656298178;3.2498343701822017;0.0;0.0
2	HMDB00190	LACTATE	C3H6O3	C13	0.99	-1	M1	89.024417585428;90.02777243058942;91.03117053159554;0.0	0.9777315283946453;96.81768839723048;2.204580074374852;0.0
2	HMDB00190	LACTATE	C3H6O3	C13	0.99	-1	M2	0.0;90.02777242561456;91.03112727575174;92.03456451051464	0.0;1.956913039358167;96.88474582653396;1.1583411341078644
2	HMDB00190	LACTATE	C3H6O3	C13	0.99	-1	M3	0.0;0.0;91.0311272658016;92.03448212091814	0.0;0.0;2.941110568734066;97.05888943126592
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M0	145.014246824628;146.01763099653724;147.018491817828;0.0;0.0;0.0	93.78578318072074;5.250434794798054;0.9637820244812292;0.0;0.0;0.0
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M1	145.014246824628;146.01760167641996;147.02099286616485;148.02184666630225;0.0;0.0	0.9475496748241266;93.85021629677126;4.237793573014838;0.9644404553897682;0.0;0.0
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M2	0.0;146.0176016681313;147.02095652820952;148.02435916011734;149.02520151477026;0.0	0.0;1.8962652802939153;93.91398196502078;3.224660736719439;0.9650920179658663;0.0
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M3	0.0;0.0;147.0209565116336;148.024311380002;149.02773597772156;150.02855636324077	0.0;0.0;2.846437649067428;93.97709864213462;2.210726803200715;0.9657369055972513
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M4	0.0;0.0;0.0;148.02431135513748;149.02766623180293;150.03115016183588	0.0;0.0;0.0;3.798359236685448;94.03958427664676;1.1956811802136948
3	HMDB00208	OXOGLUTARATE	C5H6O5	C13	0.99	-1	M5	0.0;0.0;0.0;0.0;149.0276661986458;150.03102108361773	0.0;0.0;0.0;0.0;4.760856543579276;94.2703999506486
4	HMDB00243	PYRUVATE	C3H4O3	C13	0.99	-1	M0	87.008767520948;88.01215169285724;0.0;0.0	96.7501656298178;3.249834370182201;0.0;0.0
4	HMDB00243	PYRUVATE	C3H4O3	C13	0.99	-1	M1	87.008767520948;88.01212236610944;89.01552046711552;0.0	0.9777315283946455;96.81768839723048;2.204580074374852;0.0
4	HMDB00243	PYRUVATE	C3H4O3	C13	0.99	-1	M2	0.0;88.01212236113457;89.01547721127172;90.01891444603012	0.0;1.956913039632446;96.88474584011321;1.158341120254339
4	HMDB00243	PYRUVATE	C3H4O3	C13	0.99	-1	M3	0.0;0.0;89.0154772013216;90.01883205643813	0.0;0.0;2.9411105687340657;97.05888943126592
5	HMDB00134	FUMARATE	C4H4O4	C13	0.99	-1	M0	115.003682140548;116.00706631245724;0.0;0.0;0.0	95.713324128362;4.286675871638003;0.0;0.0;0.0
5	HMDB00134	FUMARATE	C4H4O4	C13	0.99	-1	M1	115.003682140548;116.0070369890251;117.01043049602308;0.0;0.0	0.9671414735887667;95.77986053946;3.25299798695123;0.0;0.0
5	HMDB00134	FUMARATE	C4H4O4	C13	0.99	-1	M2	0.0;116.00703698239303;117.01039183750173;118.0138034064818;0.0	0.0;1.9356002045779457;95.8458220097727;2.2185777856493525;0.0
5	HMDB00134	FUMARATE	C4H4O4	C13	0.99	-1	M3	0.0;0.0;117.01039182423797;118.01374668598235;119.01720799110727	0.0;0.0;2.9056765876719206;95.91122782819195;1.183095584136137
5	HMDB00134	FUMARATE	C4H4O4	C13	0.99	-1	M4	0.0;0.0;0.0;118.01374666608498;119.01710153447125	0.0;0.0;0.0;3.8833515306744504;96.11664846932555
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M0	191.019726128308;192.02311499669116;193.023971121508;0.0;0.0;0.0;0.0	92.42581090702899;6.2443662822761405;1.3298228106948897;0.0;0.0;0.0;0.0
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M1	191.019726128308;192.02308098673;193.02647633134225;194.02732595671802;0.0;0.0;0.0	0.9336979546944185;92.4890803181723;5.24652441760016;1.3306973095331287;0.0;0.0;0.0
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M2	0.0;192.02308097512798;193.0264358451458;194.029840721546;195.030680791928;0.0;0.0	0.0;1.8684289216426773;92.55158625935121;4.248424034109314;1.331560784896804;0.0;0.0
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M3	0.0;0.0;193.02643582194517;194.02979070356278;195.0332109907655;196.034035627138;0.0	0.0;0.0;2.8044760129282182;92.61334671920217;3.249763783121999;1.3324134847476008;0.0
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M4	0.0;0.0;0.0;194.02979066876827;195.0331455619887;196.03659498954278;197.03739046234796	0.0;0.0;0.0;3.7421237595742047;92.67437906167584;2.25024153074653;1.333255648003429
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M5	0.0;0.0;0.0;0.0;195.03314551559114;196.0365004204312;198.04074539703592	0.0;0.0;0.0;0.0;4.681651217576891;92.73455738666806;1.3342393745066419
6	HMDB00094	CITRATE	C6H8O7	C13	0.99	-1	M6	0.0;0.0;0.0;0.0;0.0;196.03650036241746;197.03985527889773	0.0;0.0;0.0;0.0;0.0;5.6373045254864325;93.0242926305519
